model,accuracy,precision,recall,f1_score
Random Forest,0.9978683958944173,0.9978868537881352,0.9978683958944173,0.9977746670237132
Multilayer Perceptron,0.35101544168090953,0.3394670398464023,0.35101544168090953,0.18240182648395561
